filename,station_name,n_years,completeness,longitude,latitude,country
airstrip_point-6765-can-meds,airstrip_point,1,0.0808,-97.59,76.07,CAN
aiw_at_highway_544_at_socastee_sc-2110725-usa-usgs,aiw_at_highway_544_at_socastee_sc,19,0.926,-79.005,33.68694444,USA
aiw_at_highway_9_at_nixons_crossroads_sc-2110777-usa-usgs,aiw_at_highway_9_at_nixons_crossroads_sc,19,0.926,-78.6558483,33.8515612,USA
ajaccio_aspretto-300-fra-refmar,ajaccio_aspretto,30,0.7961,8.76284981,41.92279816,FRA
ajacciotg_60minute-aja-fra-cmems,ajacciotg_60minute,30,0.7932,8.7629004,41.922699,FRA
akabane-ma81-jpn-jodc_jma,akabane,17,1.0006,137.1883,34.605,JPN
akeftapak-9468283-usa-noaa,akeftapak,1,0.762,-171.6447,63.7185,USA
akita-2002-jpn-jodc_pahb,akita,14,0.9292,140.06583333,39.74611667,JPN
akreavenek_island-5141-can-meds,akreavenek_island,1,0.1366,-90.67,63.42,CAN
akulivik-4538-can-meds,akulivik,1,0.1526,-78.22,60.8,CAN
akun_cove-9462719-usa-noaa,akun_cove,3,0.6483,-165.533,54.2333,USA
akune-gs15-jpn-jodc_giaj,akune,54,1.0007,130.19111667,32.0175,JPN
akutan-9462694-usa-noaa,akutan,1,0.3288,-165.8,54.13328,USA
akyab_sittwe-907-mmr-uhslc_fd,akyab_sittwe,18,1.0449,92.9,20.15,MMR
akyab_sittwe-907a-mmr-uhslc_rq,akyab_sittwe_v2,13,0.948,92.903,20.14,MMR
alafia_river_at_bell_shoals_near_riverview_fl-2301638-usa-usgs,alafia_river_at_bell_shoals_near_riverview_fl,14,0.9046,-82.2737021,27.85891477,USA
alafia_river_at_gibsonton_fl-2301721-usa-usgs,alafia_river_at_gibsonton_fl,16,1.0996,-82.3842598,27.85974739,USA
alafia_river_at_us_301_at_riverview_fl-2301718-usa-usgs,alafia_river_at_us_301_at_riverview_fl,19,0.926,-82.3264528,27.86934167,USA
alafia_river_near_bell_shoals_rd_nr_riverview_fl-2301635-usa-usgs,alafia_river_near_bell_shoals_rd_nr_riverview_fl,6,0.8217,-82.26858889,27.85715556,USA
alameda-9414750-usa-noaa,alameda,48,0.9739,-122.3,37.7717,USA
alameda_nas-9414767-usa-noaa,alameda_nas,1,0.6839,-122.315,37.7933,USA
alawai-421-usa-uhslc_fd,alawai,3,0.7877,-157.842,21.287,USA
albany-62120-aus-bom,albany,58,0.9571,117.8926,-35.0337,AUS
albany-8518995-usa-noaa,albany_v2,7,0.9381,-73.7467,42.65,USA
albert_harbour-5803-can-meds,albert_harbour,3,0.5799,-77.48,72.76,CAN
alberton-1885-can-meds,alberton,2,0.2037,-64.07,46.8,CAN
alblasserdam-albsdm-nld-rws_hist,alblasserdam,16,0.9014,4.645151,51.865835,NLD
alborantg-alb-esp-cmems,alborantg,4,0.3204,-3.0343001,35.938801,ESP
alcudiatg-alc-esp-cmems,alcudiatg,17,0.9193,3.1391699,39.834702,ESP
alert-3765-can-meds,alert,36,0.7114,-62.31,82.49,CAN
alert-836-can-uhslc_fd,alert_v2,7,0.7627,-62.317,82.492,CAN
alert_bay_bc-8280-can-meds,alert_bay_bc,32,0.9486,-126.93,50.59,CAN
alesund-aes-nor-nhs,alesund,66,0.9464,6.151946,62.469414,NOR
alexander_island-66791-can-meds,alexander_island,2,0.1094,-103.33,75.75,CAN
alexandra_narrows-9950-can-meds,alexandra_narrows,1,0.0901,-132.59,54.03,CAN
alexandria-807-egy-uhslc_fd,alexandria,7,0.8655,29.917,31.217,EGY
alexandria-807a-egy-uhslc_rq,alexandria_v2,8,0.775,29.923,31.212,EGY
alexandria-ale-egy-noc,alexandria_v3,20,0.9507,29.9167,31.2167,EGY
alexandria_bay_ny-8311062-usa-noaa,alexandria_bay_ny,43,0.9883,-75.934528,44.33111,USA
algeciras-alge-esp-ieo,algeciras,65,1.157,-5.4333,36.117,ESP
algecirastg-alg-esp-cmems,algecirastg,17,0.9212,-5.3983302,36.176899,ESP
algonac_mi-9014070-usa-noaa,algonac_mi,56,0.9883,-82.526665,42.621113,USA
alicante2tg-ali-esp-cmems,alicante2tg,7,4.5195,-0.48139,38.33889,ESP
alicante_i-ali-esp-da_mm,alicante_i,62,1.0965,-0.477877,38.338271,ESP
alicante_i_outer_harbour-alio-esp-da_mm,alicante_i_outer_harbour,129,0.5591,-0.477877,38.338271,ESP
alicantetg-ali-esp-cmems,alicantetg,7,0.6862,-0.47786,38.338291,ESP
alice_arm_bc-9448-can-meds,alice_arm_bc,1,0.0823,-129.5,55.47,CAN
alison_sound_bc-8488-can-meds,alison_sound_bc,1,0.0795,-126.98,51.16,CAN
alitak-9457804-usa-noaa,alitak,20,0.9706,-154.248,56.8974,USA
alliance-8761727-usa-noaa,alliance,4,0.7633,-89.9733,29.69,USA
alligator_creek_near_garfield_bight_fl-251032080473400-usa-usgs,alligator_creek_near_garfield_bight_fl,19,0.926,-80.7927778,25.17555556,USA
allison_inlet-65602-can-meds,allison_inlet,1,0.126,-99.37,74.97,CAN
alloway_creek_at_hancocks_bridge_nj-1483050-usa-usgs,alloway_creek_at_hancocks_bridge_nj,8,0.8195,-75.4605556,39.5086111,USA
almeria2tg-alm-esp-cmems,almeria2tg,8,0.799,-2.4809,36.831902,ESP
almeria3tg-alm-esp-cmems,almeria3tg,7,0.7519,-2.4849501,36.83223,ESP
almeriatg-alm-esp-cmems,almeriatg,20,0.9477,-2.4779999,36.830002,ESP
alofi-598-niu-uhslc_fd,alofi,9,1.092,-169.917,-19.033,NIU
alofi-598a-niu-uhslc_rq,alofi_v2,6,0.7425,-169.917,-19.05,NIU
alotau-069a-png-uhslc_rq,alotau,12,0.8692,150.453,-10.168,PNG
alpena_mi-9075065-usa-noaa,alpena_mi,20,0.9756,-83.4286,45.063,USA
altamaha_river_near_everett_city_ga-2226160-usa-usgs,altamaha_river_near_everett_city_ga,18,0.9555,-81.6051111,31.4268611,USA
altengamme-5930070-deu-wsv,altengamme,26,0.9826,10.29678809,53.430842,DEU
altewesertg-alt-deu-cmems,altewesertg,12,9.8006,8.1274996,53.8633,DEU
althagen-9650024-deu-wsv,althagen,26,0.9826,12.41895704,54.37175626,DEU
althagentg-alt-deu-cmems,althagentg,6,4.5308,12.4194,54.3769,DEU
alvarado-400-mex-unam_hist,alvarado,24,0.9627,-95.756,18.76616667,MEX
alvarado_flotador-22-mex-unam,alvarado_flotador,4,38.241,-95.756,18.76616667,MEX
alvarado_radar-22-mex-unam,alvarado_radar,4,45.915,-95.756,18.76616667,MEX
amaliahaven-amlahvn-nld-rws,amaliahaven,3,0.5663,3.99495496,51.96219264,NLD
amami-ma73-jpn-jodc_jma,amami,28,0.9649,129.5342,28.3228,JPN
ambes-6118-fra-refmar,ambes,10,0.9709,-0.603517,45.040483,FRA
ambestg_60minute-amb-fra-cmems,ambestg_60minute,10,0.9708,-0.60351998,45.040482,FRA
ambleside_bc-7780-can-meds,ambleside_bc,7,0.7935,-123.16,49.33,CAN
ambon-133-idn-uhslc_fd,ambon,17,0.9584,128.2,-3.7,IDN
ambon-133a-idn-uhslc_rq,ambon_v2,13,0.9212,128.183,-3.683,IDN
ambon-133b-idn-uhslc_rq,ambon_v3,11,0.9324,128.2,-3.638,IDN
amelander_westgat_platform-awgpfm-nld-rws,amelander_westgat_platform,15,5.9921,5.94119443,53.49163903,NLD
amelia_earhart_dam-8443662-usa-noaa,amelia_earhart_dam,1,0.8042,-71.0767,42.395,USA
american_falls_ny-9063009-usa-noaa,american_falls_ny,50,0.9907,-79.061361,43.08106,USA
american_falls_ny-9063010-usa-noaa,american_falls_ny_v2,9,0.8159,-79.0625,43.08194,USA
amherstburg_ontario-11995-can-meds,amherstburg_ontario,65,0.9419,-83.11,42.14,CAN
amite_river_at_hwy_22_near_maurepas_la-7380215-usa-usgs,amite_river_at_hwy_22_near_maurepas_la,2,8.7957,-90.6087222,30.30769444,USA
amite_river_at_port_vincent_la-7380120-usa-usgs,amite_river_at_port_vincent_la,8,2.1989,-90.8520419,30.3326939,USA
amite_river_diversion_south_of_whitehall_la-7380210-usa-usgs,amite_river_diversion_south_of_whitehall_la,4,0.7331,-90.6880556,30.2268611,USA
amite_river_near_french_settlement_la-7380200-usa-usgs,amite_river_near_french_settlement_la,9,1.9546,-90.7792616,30.2754733,USA
ammassalik-297a-dnk-uhslc_rq,ammassalik,9,0.9042,-37.0,65.6,DNK
anacostia_river_aquatic_gardens_at_washington_dc-1651750-usa-usgs,anacostia_river_aquatic_gardens_at_washington_dc,11,0.9142,-76.9505,38.9145,USA
anacostia_river_nr_buzzard_point_at_washington_dc-1651827-usa-usgs,anacostia_river_nr_buzzard_point_at_washington_dc,7,0.8775,-77.0103333,38.86516667,USA
anchor_point-2637-can-meds,anchor_point,6,0.7105,-56.8,51.23,CAN
anchor_point-9451317-usa-noaa,anchor_point_v2,2,0.5352,-132.927,56.6383,USA
anchor_point-9455606-usa-noaa,anchor_point_v3,1,0.8406,-151.867028,59.771972,USA
anchorage-9455920-usa-noaa,anchorage,45,0.9817,-149.8904,61.2375,USA
anclote_lighthouse-8726917-usa-noaa,anclote_lighthouse,1,0.2498,-82.8433,28.165,USA
anclote_river_near_holiday_fl-2310075-usa-usgs,anclote_river_near_holiday_fl,15,0.8992,-82.7193056,28.1744722,USA
ancona-anx-ita-ispra,ancona,39,4.2465,13.50651667,43.62476667,ITA
andenes-800-nor-uhslc_fd,andenes,35,0.9642,16.15,69.317,NOR
andenes-800a-nor-uhslc_rq,andenes_v2,28,0.9731,16.15,69.317,NOR
andenes-anx-nor-nhs,andenes_v3,34,0.9854,16.134848,69.326067,NOR
andenestg-and-nor-cmems,andenestg,35,5.7566,16.1348,69.326065,NOR
anderson_island-64602-can-meds,anderson_island,1,0.1071,-76.67,56.33,CAN
anderson_point_mi-9087091-usa-noaa,anderson_point_mi,1,0.7691,-86.659444,45.618611,USA
andratx-and-esp-cmems,andratx,10,5.0211,2.3784599,39.544201,ESP
anewa_bay-048a-png-uhslc_rq,anewa_bay,10,0.9412,155.883,-6.183,PNG
angra_heroismo-215a-prt-uhslc_rq,angra_heroismo,6,0.8592,-27.24,38.65,PRT
angra_heroismo-215b-prt-uhslc_rq,angra_heroismo_v2,11,0.8755,-27.24,38.65,PRT
anklam-9660001-deu-wsv,anklam,26,0.9826,13.7042766,53.86275437,DEU
annapolis-8575512-usa-noaa,annapolis,98,0.9827,-76.4816,38.98328,USA
antalya-ant-tur-cmems,antalya,3,0.6094,30.61261,36.835537,TUR
antalya-ant-tur-eseas,antalya_v2,14,0.9702,30.6167,36.8333,TUR
antigonish_harbour-1590-can-meds,antigonish_harbour,1,0.1287,-61.92,45.67,CAN
antioch-9415064-usa-noaa,antioch,2,0.586,-121.815,38.02,USA
antofagasta-080-chl-uhslc_fd,antofagasta,81,0.983,-70.4,-23.65,CHL
antofagasta-080a-chl-uhslc_rq,antofagasta_v2,74,0.9881,-70.405,-23.653,CHL
antonio_enes-191a-moz-uhslc_rq,antonio_enes,1,0.3068,39.902,-16.232,MOZ
antwerpen_prosperpolder-antwppppdr-nld-rws,antwerpen_prosperpolder,18,3.708,4.24763328,51.34208224,NLD
anzio-anz-ita-ispra,anzio,13,4.5785,12.63479722,41.44685833,ITA
aohama-9009-jpn-jodc_pahb,aohama,13,1.0006,131.01871667,33.94881667,JPN
aoki-7318-jpn-jodc_pahb,aoki,14,0.9292,133.68778333,34.365,JPN
aomoriko-0104-jpn-jodc_pahb,aomoriko,59,1.0515,140.76388333,40.83528333,JPN
apalachicola-8728690-usa-noaa,apalachicola,50,0.989,-84.980556,29.724444,USA
apalachicola_fl-760a-usa-uhslc_rq,apalachicola_fl,46,0.9953,-84.982,29.727,USA
apalachicola_river-8728711-usa-noaa,apalachicola_river,2,0.9599,-85.0333,29.7633,USA
apalachicola_river_nr_sumatrafla-2359170-usa-usgs,apalachicola_river_nr_sumatrafla,19,0.926,-85.0154686,29.94937094,USA
apia-401-wsm-uhslc_fd,apia,33,0.9782,-171.75,-13.817,WSM
apia-401a-wsm-uhslc_rq,apia_v2,18,1.0005,-171.75,-13.817,WSM
apia-401b-wsm-uhslc_rq,apia_v3,29,0.9953,-171.757,-13.82,WSM
apia-66840-wsm-bom,apia_v4,30,0.9653,-171.7613,-13.8268,WSM
applegate_island-9454794-usa-noaa,applegate_island,1,0.8303,-148.165,60.6233,USA
appoquinimink_river_at_odessa_de-1483158-usa-usgs,appoquinimink_river_at_odessa_de,6,0.8567,-75.65527778,39.4525,USA
apra_harbor-1630000-usa-noaa,apra_harbor,49,0.9887,144.656361,13.44339,USA
apra_harbor_guam-053a-usa-uhslc_rq,apra_harbor_guam,73,1.0118,144.65,13.433,USA
aranmore-ara-irl-cmems,aranmore,18,0.8683,-8.4956198,54.989601,IRL
aranmore_island_leabgarrow-ara-irl-mi_c,aranmore_island_leabgarrow,18,9.5819,-8.4955,54.9905,IRL
aransas-8775241-usa-noaa,aransas,10,0.9504,-97.039101,27.836599,USA
aransas_pass-8775083-usa-noaa,aransas_pass,2,0.6121,-97.13528,27.90806,USA
aransas_wildlife_refuge-8774230-usa-noaa,aransas_wildlife_refuge,13,0.9555,-96.794998,28.2283,USA
arcachon_eyrac-190-fra-refmar,arcachon_eyrac,32,0.7596,-1.16355002,44.66500092,FRA
arcachoneyractg_60minute-arc-fra-cmems,arcachoneyractg_60minute,32,0.7576,-1.1635,44.665001,FRA
arecibo-9757809-usa-noaa,arecibo,10,0.9925,-66.702361,18.480528,USA
arecibo_pr-735a-pri-uhslc_rq,arecibo_pr,10,0.9349,-66.702,18.48,PRI
arena_cove-9416841-usa-noaa,arena_cove,41,0.964,-123.711083,38.914556,USA
arena_cove_ca-573a-usa-uhslc_rq,arena_cove_ca,38,1.1434,-123.708,38.913,USA
argentia-835-can-meds,argentia,55,0.9114,-53.98,47.3,CAN
arica-083-chl-uhslc_fd,arica,20,0.9632,-70.333,-18.467,CHL
arica-083a-chl-uhslc_rq,arica_v2,17,0.9563,-70.333,-18.467,CHL
arichat-580-can-meds,arichat,4,0.2748,-61.03,45.52,CAN
arisaig-1610-can-meds,arisaig,2,0.3106,-62.17,45.77,CAN
arklow_harbour_opw_station-ark-irl-mi_c,arklow_harbour_opw_station,2,2.2698,-6.145231,52.792046,IRL
arklowharbour-ark-irl-cmems,arklowharbour,23,0.9428,-6.1451998,52.792,IRL
arko-2545-swe-smhi,arko,12,0.8986,16.9607,58.4843,SWE
arko-ark-swe-cmems,arko_v2,12,0.8987,16.960699,58.484299,SWE
armand_bayou_pasadena_lake_nasa_road_1-arm-usa-hct,armand_bayou_pasadena_lake_nasa_road_1,10,0.9462,-95.0707,29.5641,USA
armitage_island-9449932-usa-noaa,armitage_island,4,0.8511,-122.797,48.535,USA
army_depot-8664662-usa-noaa,army_depot,1,0.7478,-79.9517,32.91,USA
arnolds_cove-818-can-meds,arnolds_cove,2,0.1204,-53.99,47.76,CAN
arrecife-205a-esp-uhslc_rq,arrecife,15,0.9224,-13.567,28.95,ESP
arrecife-205b-esp-uhslc_rq,arrecife_v2,13,0.9625,-13.567,28.95,ESP
arrecife-205d-esp-uhslc_rq,arrecife_v3,5,1.0005,-13.567,28.95,ESP
arrecife-arre-esp-ieo,arrecife_v4,60,1.1527,-13.53,28.9718,ESP
arrecifetg-arr-esp-cmems,arrecifetg,18,0.9448,-13.53,28.966999,ESP
arroyo_colorado_at_fm_106_rio_hondo_tx-8470500-usa-usgs,arroyo_colorado_at_fm_106_rio_hondo_tx,12,0.8942,-97.5847222,26.23527778,USA
arthur_kill_at_perth_amboy_nj-1396060-usa-usgs,arthur_kill_at_perth_amboy_nj,10,0.8705,-74.2622222,40.50388889,USA
artificial_is-8537614-usa-noaa,artificial_is,9,0.838,-75.5317,39.46,USA
arun_platform-arn-gbr-cco,arun_platform,14,6.1127,-0.49215,50.76983,GBR
arunplatformtg-aru-gbr-cmems,arunplatformtg,16,4.482,-0.49215397,50.769825,GBR
arviat-5040-can-meds,arviat,2,0.09,-94.06,61.11,CAN
asamushi-gs06-jpn-jodc_giaj,asamushi,70,0.9864,140.85916667,40.8975,JPN
ascension-291-gbr-uhslc_fd,ascension,3,0.7527,-14.417,-7.917,GBR
ascension-291a-gbr-uhslc_rq,ascension_v2,21,0.9565,-14.417,-7.917,GBR
ascension-asc-gbr-noc,ascension_v3,18,3.1679,-14.3857,-7.8928,GBR
ashepoo_river_at_us17_nr_greenpond_sc-2175148-usa-usgs,ashepoo_river_at_us17_nr_greenpond_sc,4,0.7427,-80.55638889,32.74388889,USA
ashland_ave_ny-9063007-usa-noaa,ashland_ave_ny,66,0.9622,-79.059917,43.1,USA
ashland_mi-9099050-usa-noaa,ashland_mi,1,0.7479,-90.9,46.596,USA
ashley_river_at_cooke_crossroads_sc-2172081-usa-usgs,ashley_river_at_cooke_crossroads_sc,7,0.8133,-80.2009279,32.95878299,USA
ashley_river_below_summerville_sc-21720825-usa-usgs,ashley_river_below_summerville_sc,9,0.9189,-80.1516667,32.92583333,USA
ashley_river_near_north_charleston_sc-21720869-usa-usgs,ashley_river_near_north_charleston_sc,27,1.216,-80.0237014,32.8346201,USA
ashtabula_ny-9063048-usa-noaa,ashtabula_ny,1,0.8263,-80.798056,41.900444,USA
askinscreek_atavon-ask-usa-ncdem,askinscreek_atavon,7,0.9003,-75.511523,35.325819,USA
assens-ass-dnk-cmems,assens,12,5.3312,9.8832998,55.266701,DNK
astoria-9439040-usa-noaa,astoria,101,0.992,-123.768306,46.207306,USA
astoria_downtown-9439040-usa-da_sat,astoria_downtown,22,0.993,-123.82918611,46.19011111,USA
astoria_or-572a-usa-uhslc_rq,astoria_or,97,1.0,-123.767,46.208,USA
astoria_river_pilots_dock-9439040-usa-da_sat,astoria_river_pilots_dock,5,0.7671,-122.82918611,46.19011111,USA
astoria_youngs_bay-9439026-usa-da_sat,astoria_youngs_bay,13,0.9222,-123.83472222,46.17166667,USA
atka-9461710-usa-noaa,atka,20,0.9622,-174.1726,52.232,USA
atkinson_point-6476-can-meds,atkinson_point,6,0.1412,-131.42,69.95,CAN
atlantic_beach-8516881-usa-noaa,atlantic_beach,1,0.6041,-73.7433,40.595,USA
atlantic_beach_triple_s_pier-8656590-usa-noaa,atlantic_beach_triple_s_pier,12,0.931,-76.7117,34.6933,USA
atlantic_city-264-usa-uhslc_fd,atlantic_city,114,0.9995,-74.418,39.355,USA
atlantic_city-8534720-usa-noaa,atlantic_city_v2,114,0.985,-74.418053,39.356667,USA
atlantic_city_nj-264a-usa-uhslc_rq,atlantic_city_nj,110,1.0041,-74.418,39.355,USA
atlantic_terminals_t14a-8423005-usa-noaa,atlantic_terminals_t14a,2,0.5068,-70.8117,43.1167,USA
atli_inlet_bc-9765-can-meds,atli_inlet_bc,1,0.5235,-131.58,52.71,CAN
auasi-404-asm-uhslc_fd,auasi,3,0.7258,-170.573,-14.272,ASM
aucilla_river_nr_mouth_near_nutall_rise_fl-2326550-usa-usgs,aucilla_river_nr_mouth_near_nutall_rise_fl,4,4.3985,-83.9797728,30.11234694,USA
auckland-070a-nzl-uhslc_rq,auckland,5,0.9345,174.767,-36.85,NZL
auckland-auct-nzl-ttw,auckland_v2,16,0.9865,174.78638889,-36.83138889,NZL
audierne_port-6305-fra-refmar,audierne_port,8,0.7508,-4.537583,48.02155,FRA
audiernetg_60minute-aud-fra-cmems,audiernetg_60minute,8,0.7386,-4.53758,48.021549,FRA
augusta-8417144-usa-noaa,augusta,1,0.6959,-69.77028,44.32,USA
aukfield_platform-aukfpfm-nld-rws,aukfield_platform,21,4.5116,2.06402033,56.39904034,NLD
aulds_cove-1570-can-meds,aulds_cove,3,0.3203,-61.43,45.65,CAN
aunuu-407-asm-uhslc_fd,aunuu,3,0.7269,-170.562,-14.283,ASM
avalon-8571901-usa-noaa,avalon,1,0.9114,-76.335,38.71,USA
avalon-9410079-usa-noaa,avalon_v2,1,0.3406,-118.325,33.345,USA
avilestg-avi-esp-cmems,avilestg,5,0.7594,-5.9299302,43.591381,ESP
avoca_island_cutoff_south_of_morgan_city_la-73816501-usa-usgs,avoca_island_cutoff_south_of_morgan_city_la,12,0.865,-91.2458333,29.5386111,USA
avonharbor-avo-usa-ncdem,avonharbor,4,0.722,-75.51232,35.34731,USA
avonmouth-avo-gbr-bodc,avonmouth,40,2.4347,-2.71275,51.50775,GBR
avonmouth-avo-gbr-cmems,avonmouth_v2,26,0.8214,-2.7114,51.507099,GBR
awashima-hd25-jpn-jodc_jcg,awashima,60,0.9981,139.255,38.46778333,JPN
awayuki-ma69-jpn-jodc_jma,awayuki,19,1.0006,134.5922,33.7711,JPN
awg_platform-awg-nld-rws,awg_platform,2,1.6842,5.94113998,53.49164014,NLD
awgtg-awg-nld-cmems,awgtg,11,4.9895,5.9400001,53.492001,NLD
baalhoek-baal-nld-rws,baalhoek,2,1.6844,4.10237199,51.36584113,NLD
babs_bay-4539-can-meds,babs_bay,1,0.1659,-78.31,60.76,CAN
back_bay_of_biloxi_near_biloxi_miss-2481270-usa-usgs,back_bay_of_biloxi_near_biloxi_miss,17,0.9103,-88.9758669,30.4157534,USA
back_river_at_dupont_intake_nr_kittredge_sc-2172040-usa-usgs,back_river_at_dupont_intake_nr_kittredge_sc,19,0.9267,-79.9584722,33.0569722,USA
back_river_crk_at_pleasant_cove_nr_woolwich_maine-1059555-usa-usgs,back_river_crk_at_pleasant_cove_nr_woolwich_maine,6,0.8342,-69.7925,43.9247222,USA
back_river_tributary_at_rocky_point_park_md-158540095-usa-usgs,back_river_tributary_at_rocky_point_park_md,2,0.6524,-76.4041667,39.2503611,USA
baddeck-640-can-meds,baddeck,1,0.1444,-60.75,46.1,CAN
baffin_bay-8776604-usa-noaa,baffin_bay,14,0.9468,-97.405167,27.297,USA
bagenkop-bag-dnk-cmems,bagenkop,20,5.1071,10.6778,54.7528,DNK
bahia_los_angeles-310a-mex-uhslc_rq,bahia_los_angeles,22,0.9864,-113.55,28.958,MEX
bahia_salinas-9759197-usa-noaa,bahia_salinas,1,0.6839,-67.196583,17.9514,USA
baie_comeau-2840-can-meds,baie_comeau,24,0.8689,-68.13,49.23,CAN
baie_des_moutons-2556-can-meds,baie_des_moutons,1,0.0817,-59.03,50.77,CAN
baie_du_vin_island-2028-can-meds,baie_du_vin_island,1,0.2055,-65.12,47.08,CAN
